"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"acepack","acepack","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"addinslist","addinslist","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.4.0",NA,"R (>= 3.1.0)","curl, remotes, DT (>= 0.1), miniUI (>= 0.1), shiny (>=
0.13.2), shinyjs (>= 0.6), rappdirs (>= 0.3.1), rmarkdown,
rvest (>= 0.3.1), utils, xml2 (>= 0.1.2)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"AER","AER","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2-9",NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.3"
"airports","airports","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 2.10)",NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"alpaca","alpaca","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3.3",NA,"R (>= 3.1.0)","data.table, Formula, MASS, Rcpp, stats, utils","Rcpp, RcppArmadillo","bife, car, knitr, lfe, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"alphavantager","alphavantager","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1.2",NA,"R (>= 3.3.0)","dplyr (>= 0.7.0), glue (>= 1.1.1), httr (>= 1.2.1), jsonlite
(>= 1.5), purrr (>= 0.2.2.2), readr (>= 1.1.1), stringr (>=
1.2.0), tibble (>= 1.3.3), tidyr (>= 0.6.3), timetk (>=
0.1.1.1)",NA,"tidyquant, testthat, knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"amap","amap","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.8-18",NA,"R (>= 3.6.0)",NA,NA,"Biobase",NA,"GPL",NA,NA,NA,NA,"yes","4.0.3"
"Amelia","Amelia","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.7.6",NA,"R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils, grDevices, graphics, methods, stats","Rcpp (>= 0.11), RcppArmadillo","tcltk, Zelig",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"annotate","annotate","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.68.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, hom.Hs.inp.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"AnnotationDbi","AnnotationDbi","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.52.0",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25)",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, KEGG.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, hom.Hs.inp.db,
org.Hs.eg.db, reactome.db, AnnotationForge, graph,
EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.3"
"anytime","anytime","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"aod","aod","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3.1",NA,"R (>= 2.10), methods, stats",NA,NA,"MASS, boot, lme4",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"ape","ape","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","5.4-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"aplpack","aplpack","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.3.3",NA,"R (>= 3.0.0)",NA,NA,"tkrplot, jpeg, png, splines, utils, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"apollo","apollo","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2.4",NA,"R (>= 4.0.0), stats, utils","Rcpp (>= 1.0.0), maxLik, mnormt, mvtnorm, graphics,
randtoolbox, numDeriv, parallel, Deriv, matrixStats, RSGHB,
coda","Rcpp, RcppArmadillo, RcppEigen","knitr, rmarkdown, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.4"
"AppliedPredictiveModeling","AppliedPredictiveModeling","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1-7",NA,"R (>= 2.10)","CORElearn, MASS, plyr, reshape2, lattice, ellipse",NA,"caret (>= 6.0-22)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"apt","apt","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","3.0",NA,"R (>= 3.0.0), erer","car, urca",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"arm","arm","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.11-2",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, Hmisc, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.0.3"
"arrangements","arrangements","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.1.9",NA,"R (>= 3.4.0)","gmp, methods, R6",NA,"foreach, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"arules","arules","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.6-6",NA,"R (>= 3.4.0), Matrix (>= 1.2-0)","stats, methods, graphics, utils",NA,"pmml, XML, arulesViz, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"arulesCBA","arulesCBA","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,"R (>= 3.5.0), Matrix (>= 1.2-0), arules (>= 1.6-5)","methods, discretization (>= 1.0-1), glmnet (>= 2.0-16)",NA,"testthat, RWeka, rJava",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"arulesNBMiner","arulesNBMiner","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.1-7",NA,"R (>= 3.6), arules (>= 1.6-0), rJava (>= 0.9-0)","methods, stats, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"arulesSequences","arulesSequences","C:/Users/johnk/OneDrive/Documents/R/win-library/4.0","0.2-25",NA,"R (>= 3.3.2), methods, arules (>= 1.5-1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
